Iteration,accuracy,precision,f1_score,alpha,loss,max_iter,penalty,tol
0,0.972680412371134,0.9667569252772072,0.9458366072201857,0.0004978121807554896,log_loss,1038,l2,0.001
1,0.9672680412371134,0.9612145904360709,0.9347915558594839,0.0010651142186284541,log_loss,1958,elasticnet,1e-05
2,0.972680412371134,0.9667569252772072,0.9458366072201857,0.00024949906347561705,log_loss,1275,l2,1e-05
3,0.972680412371134,0.9667569252772072,0.9458366072201857,0.0005094011429849718,log_loss,1499,l2,0.001
4,0.9747422680412371,0.9537223340040242,0.9508525576730191,0.00013498577581854635,log_loss,1148,l1,0.0001
5,0.9675257731958763,0.9426017744768487,0.9365200188831639,0.0009844427603937376,log_loss,1354,l2,0.0001
6,0.9690721649484536,0.9458137659115382,0.9396223973733397,0.0010114288684619193,log_loss,1027,l2,0.0001
7,0.9713917525773196,0.9450595261955346,0.9445008358609368,0.00070583343393862,log_loss,1685,l1,0.0001
8,0.9567010309278351,0.9871194379391101,0.9093851132686084,0.0010612210745700153,log_loss,1976,l2,1e-05
9,0.972680412371134,0.9667569252772072,0.9458366072201857,0.0005955613341197145,log_loss,1175,l2,0.0001
10,0.9729381443298969,0.9497785894369384,0.9473811160558149,0.001042602145486107,log_loss,1657,l1,1e-05
11,0.9690721649484536,0.9375147910322957,0.9402976778901315,0.0006583308244718309,log_loss,1999,elasticnet,0.001
12,0.9724226804123711,0.9462011418533158,0.9465718253294304,0.0003716823632365463,log_loss,1579,l1,0.001
13,0.9680412371134021,0.9203186884037948,0.9392474278725088,0.0003189040722288658,log_loss,1085,elasticnet,0.001
14,0.9739690721649484,0.966774786276861,0.9485499438413356,0.0005771371042906497,log_loss,1779,elasticnet,0.0001
15,0.9721649484536082,0.9724699809224554,0.9444407398586965,0.0007969947113108616,log_loss,1222,l2,1e-05
16,0.972680412371134,0.9667569252772072,0.9458366072201857,0.0006571225862405649,log_loss,1506,l2,0.0001
17,0.972680412371134,0.9667569252772072,0.9458366072201857,0.0002380105071849731,log_loss,1330,l2,1e-05
18,0.9724226804123711,0.9488395303168664,0.9463942206221997,0.0003756138533316409,log_loss,1751,l1,0.0001
19,0.9734536082474227,0.9517111145367658,0.9483376736897864,0.00032667202767589426,log_loss,1006,l1,1e-05
20,0.970360824742268,0.9633012230001228,0.9411092411645022,0.0010520538886728962,log_loss,1919,l2,1e-05
21,0.9729381443298969,0.9498537290998279,0.9474012699676176,0.00033546808205593253,log_loss,1602,l1,0.0001
22,0.9724226804123711,0.9461753433407858,0.9465683630042558,0.00028177910237932725,log_loss,1330,l1,1e-05
23,0.9690721649484536,0.9458137659115382,0.9396223973733397,0.0010065572666268666,log_loss,1936,l2,0.001
24,0.9739690721649484,0.972684001450955,0.9481986384434791,0.0008541950577844852,log_loss,1214,l2,1e-05
